Block,Match_ID,Site,Year,Month,Date,Obs1.Time,Obs2.Time,Group.size,Cluster_size,Obs1,Obs2,Choidogjamts,Lat.1,Long.1,Obs1.AnglePath,Obs1.AngleDetection,Obs1.Distance,Latnear,Lonnear,Neardistance,Obs1.Class1,Obs1.Class2,Obs1.Class3,Obs1.Class4,Obs1.AF,Obs1.Young,Obs1.Kid,Obs1.Unclassified,Obs2.Total,Obs2.Name,Lat.2,Long.2,Species,Sightings,Obs2.Class1,Obs2.Class2,Obs2.Class3,Obs2.Class4,Obs2.AF,Obs2.Young,Obs2.Kid,Obs2.Unclassified,total,Transect_Length
6,Day3_3,Day3_3,2022,10,30,1617,,3,3,1,0,Enkhburen,43.56313,102.74967,20,140,50,43.56313,102.74967,50,,,,,1,1,1,,3,,,,ibex,ibex,,,,,,,,,0,12.53937808
6,Day3_4,Day3_4,2022,10,30,1201,,2,2,1,0,Purevee,43.53915,102.77601,180,270,260,43.53915,102.77601,260,,,,2,,,,,2,,,,argali,argali,,,,,,,,,0,12.43222315
6,Day3_4,Day3_4,2022,10,30,1207,1210,13,13,1,1,Purevee,43.53915,102.77601,180,270,300,43.53915,102.77601,300,3,1,,,5,,4,,13,Ankhbayar,43.53917,102.77611,ibex,ibex,3,1,,,5,,4,,13,12.43222315
6,Day3_4,Day3_4,2022,10,30,1341,,15,15,1,0,Purevee,43.52748,102.76822,270,180,300,43.52748,102.76822,300,,2,2,2,6,,3,,15,,,,ibex,ibex,,,,,,,,,0,12.43222315
6,Day3_4,Day3_4,2022,10,30,1429,,8,8,1,0,Purevee,43.52353,102.75578,290,310,170,43.52448,102.7541,25,,1,,,4,,3,,8,,,,ibex,ibex,,,,,,,,,0,12.43222315
6,Day3_4,Day3_4,2022,10,30,1456,,11,11,1,0,Purevee,43.52979,102.74649,300,210,80,43.52979,102.74649,80,1,1,1,2,4,,2,,11,,,,ibex,ibex,,,,,,,,,0,12.43222315
6,Day3_4,Day3_4,2022,10,30,1653,,14,14,1,0,Purevee,43.52978,102.72166,270,0,210,43.52978,102.72166,210,2,1,,,6,,5,,14,,,,ibex,ibex,,,,,,,,,0,12.43222315
6,Day3_5,Day3_5,2022,10,30,1409,,16,16,1,0,Tsolmonbayar,43.55661,102.82235,330,360,400,43.55661,102.82235,400,,4,2,2,4,,4,,16,,,,ibex,ibex,,,,,,,,,0,11.05473531
6,Day3_5,Day3_5,2022,10,30,,1330,2,,0,1,,,,,,,,,,,,,,,,,,0,Battumur,43.55547,102.83441,,ibex,,1,,,1,,,,2,11.05473531
6,Day3_5,Day3_5,2022,10,30,,1445,12,,0,1,,,,,,,,,,,,,,,,,,0,Battumur,43.56506,102.82674,,ibex,,,,,7,,3,2,12,11.05473531
6,Day3_5,Day3_5,2022,10,30,,1558,3,,0,1,,,,,,,,,,,,,,,,,,0,Battumur,43.57258,102.80663,,ibex,,,,,1,1,1,,3,11.05473531
6,Day3_6,Day3_6,2022,10,30,1158,,3,3,1,0,Ulambayar,43.53407,102.84128,0,30,150,43.53407,102.84128,150,,,1,,2,,,,3,,,,argali,argali,,,,,,,,,0,12.56786077
7,Day4_1,Day4_1,2022,10,30,1050,,3,3,1,0,Battsog,43.40931,102.89833,270,270,50,43.40966,102.8979,0,,,,,3,,,,3,,,,ibex,ibex,,,,,,,,,0,18.53454766
